,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
0,FoxNews,Tue Mar 20 18:23:08 +0000 2018,.@POTUS hosts a law enforcement roundtable on sanctuary cities https://t.co/glcoatPpJ0,0.0,0.0,0.0,1.0,100
1,FoxNews,Tue Mar 20 18:15:32 +0000 2018,.@PressSec: “The president has been very clear about the fact that there was no collusion between his campaign and… https://t.co/pegl4CWkF6,0.1761,0.125,0.095,0.779,99
2,FoxNews,Tue Mar 20 18:10:43 +0000 2018,.@PressSec: “We want to continue to have a dialogue with Russia.” https://t.co/yMGUy8RMq6,0.0772,0.115,0.0,0.885,98
3,FoxNews,Tue Mar 20 18:09:42 +0000 2018,.@PressSec on Texas bombings and Maryland school shooting: “Our thoughts and prayers are with the victims involved… https://t.co/ktpF9xU9DW,-0.3182,0.0,0.119,0.881,97
4,FoxNews,Tue Mar 20 18:04:57 +0000 2018,.@PressSec: “Sanctuary jurisdictions release thousands of criminal aliens out of our prisons and jails and back int… https://t.co/7gRmhrSju7,-0.5267,0.0,0.167,0.833,96
5,FoxNews,Tue Mar 20 18:01:27 +0000 2018,"RT @FoxBusiness: .@PressSec: ""The @POTUS was proud to issue a proclamation declaring today the 45th annual Ag Day."" https://t.co/gLBI1Ezdms",0.4767,0.154,0.0,0.846,95
6,FoxNews,Tue Mar 20 17:54:26 +0000 2018,.@PressSec Sarah Sanders holds a briefing.  https://t.co/jrv6A3E2QF,0.0,0.0,0.0,1.0,94
7,FoxNews,Tue Mar 20 17:45:00 +0000 2018,"Trump: Texas bomber is 'very sick,' says 'we will get to the bottom of it' https://t.co/SbphlBjk9v https://t.co/B6wwp7YDu6",0.0,0.0,0.0,1.0,93
8,FoxNews,Tue Mar 20 17:42:56 +0000 2018,VIDEO: Tempers Flare as California City Opts Out of State's Sanctuary Law https://t.co/3OqABttkCi,-0.3182,0.0,0.161,0.839,92
9,FoxNews,Tue Mar 20 17:30:21 +0000 2018,Maryland Governor @LarryHogan: “Our hearts are broken. We’re extremely saddened.” https://t.co/fQM8o6NGry https://t.co/jwVQXV9O6r,-0.4767,0.0,0.22,0.78,91
10,FoxNews,Tue Mar 20 17:24:57 +0000 2018,News conference underway on Maryland school shooting https://t.co/fQM8o6NGry https://t.co/yln8IxxNZb,0.0,0.0,0.0,1.0,90
11,FoxNews,Tue Mar 20 17:15:44 +0000 2018,"Breaking News: Minneapolis cop who fatally shot unarmed Australian woman in 2017 turns himself in, charged with mur… https://t.co/CpmXiihkWq",-0.7184,0.0,0.261,0.739,89
12,FoxNews,Tue Mar 20 17:03:09 +0000 2018,"RT @EricShawnTV: If @POTUS @realDonaldTrump fires #RobertMueller, @TheDemocrats Rep. @RepSwalwell tells @FoxNews: ""Americans would take to…",0.0,0.0,0.0,1.0,88
13,FoxNews,Tue Mar 20 16:53:01 +0000 2018,.@jasoninthehouse: “I don’t believe that Jeff Sessions is up to the job. I think the attorney general is inept and… https://t.co/KtkLqzkrFb,0.0,0.0,0.0,1.0,87
14,FoxNews,Tue Mar 20 16:44:26 +0000 2018,"JUST IN: @POTUS: Texas bomber is 'very sick,' says 'we will get to the bottom of it' https://t.co/X6tqZknk4Z",0.0,0.0,0.0,1.0,86
15,FoxNews,Tue Mar 20 16:37:16 +0000 2018,"100-year-old runner, a World War II vet, sets 5 new world track records https://t.co/0mJ8ZVGtX4",-0.5994,0.0,0.262,0.738,85
16,FoxNews,Tue Mar 20 16:35:08 +0000 2018,".@POTUS: “I had a call with President Putin and congratulated him on the victory, his electoral victory… We will pr… https://t.co/NGgamhJmKt",0.0,0.0,0.0,1.0,84
17,FoxNews,Tue Mar 20 16:31:46 +0000 2018,".@POTUS: “The bombings in Austin are terrible… This is obviously a very, very sick individual or maybe individuals.” https://t.co/mwzDwHD6gg",-0.5956,0.0,0.185,0.815,83
18,FoxNews,Tue Mar 20 16:05:37 +0000 2018,College student reinstated after 18-day exile from Christianity class for gender speech (via @calebparke) https://t.co/BGlUJQvOVa,0.0,0.0,0.0,1.0,82
19,FoxNews,Tue Mar 20 16:03:24 +0000 2018,First day of spring arrives: 5 things to know about the vernal equinox https://t.co/JOBsioj868,0.0,0.0,0.0,1.0,81
20,FoxNews,Tue Mar 20 18:23:08 +0000 2018,.@POTUS hosts a law enforcement roundtable on sanctuary cities https://t.co/glcoatPpJ0,0.0,0.0,0.0,1.0,80
21,FoxNews,Tue Mar 20 18:15:32 +0000 2018,.@PressSec: “The president has been very clear about the fact that there was no collusion between his campaign and… https://t.co/pegl4CWkF6,0.1761,0.125,0.095,0.779,79
22,FoxNews,Tue Mar 20 18:10:43 +0000 2018,.@PressSec: “We want to continue to have a dialogue with Russia.” https://t.co/yMGUy8RMq6,0.0772,0.115,0.0,0.885,78
23,FoxNews,Tue Mar 20 18:09:42 +0000 2018,.@PressSec on Texas bombings and Maryland school shooting: “Our thoughts and prayers are with the victims involved… https://t.co/ktpF9xU9DW,-0.3182,0.0,0.119,0.881,77
24,FoxNews,Tue Mar 20 18:04:57 +0000 2018,.@PressSec: “Sanctuary jurisdictions release thousands of criminal aliens out of our prisons and jails and back int… https://t.co/7gRmhrSju7,-0.5267,0.0,0.167,0.833,76
25,FoxNews,Tue Mar 20 18:01:27 +0000 2018,"RT @FoxBusiness: .@PressSec: ""The @POTUS was proud to issue a proclamation declaring today the 45th annual Ag Day."" https://t.co/gLBI1Ezdms",0.4767,0.154,0.0,0.846,75
26,FoxNews,Tue Mar 20 17:54:26 +0000 2018,.@PressSec Sarah Sanders holds a briefing.  https://t.co/jrv6A3E2QF,0.0,0.0,0.0,1.0,74
27,FoxNews,Tue Mar 20 17:45:00 +0000 2018,"Trump: Texas bomber is 'very sick,' says 'we will get to the bottom of it' https://t.co/SbphlBjk9v https://t.co/B6wwp7YDu6",0.0,0.0,0.0,1.0,73
28,FoxNews,Tue Mar 20 17:42:56 +0000 2018,VIDEO: Tempers Flare as California City Opts Out of State's Sanctuary Law https://t.co/3OqABttkCi,-0.3182,0.0,0.161,0.839,72
29,FoxNews,Tue Mar 20 17:30:21 +0000 2018,Maryland Governor @LarryHogan: “Our hearts are broken. We’re extremely saddened.” https://t.co/fQM8o6NGry https://t.co/jwVQXV9O6r,-0.4767,0.0,0.22,0.78,71
30,FoxNews,Tue Mar 20 17:24:57 +0000 2018,News conference underway on Maryland school shooting https://t.co/fQM8o6NGry https://t.co/yln8IxxNZb,0.0,0.0,0.0,1.0,70
31,FoxNews,Tue Mar 20 17:15:44 +0000 2018,"Breaking News: Minneapolis cop who fatally shot unarmed Australian woman in 2017 turns himself in, charged with mur… https://t.co/CpmXiihkWq",-0.7184,0.0,0.261,0.739,69
32,FoxNews,Tue Mar 20 17:03:09 +0000 2018,"RT @EricShawnTV: If @POTUS @realDonaldTrump fires #RobertMueller, @TheDemocrats Rep. @RepSwalwell tells @FoxNews: ""Americans would take to…",0.0,0.0,0.0,1.0,68
33,FoxNews,Tue Mar 20 16:53:01 +0000 2018,.@jasoninthehouse: “I don’t believe that Jeff Sessions is up to the job. I think the attorney general is inept and… https://t.co/KtkLqzkrFb,0.0,0.0,0.0,1.0,67
34,FoxNews,Tue Mar 20 16:44:26 +0000 2018,"JUST IN: @POTUS: Texas bomber is 'very sick,' says 'we will get to the bottom of it' https://t.co/X6tqZknk4Z",0.0,0.0,0.0,1.0,66
35,FoxNews,Tue Mar 20 16:37:16 +0000 2018,"100-year-old runner, a World War II vet, sets 5 new world track records https://t.co/0mJ8ZVGtX4",-0.5994,0.0,0.262,0.738,65
36,FoxNews,Tue Mar 20 16:35:08 +0000 2018,".@POTUS: “I had a call with President Putin and congratulated him on the victory, his electoral victory… We will pr… https://t.co/NGgamhJmKt",0.0,0.0,0.0,1.0,64
37,FoxNews,Tue Mar 20 16:31:46 +0000 2018,".@POTUS: “The bombings in Austin are terrible… This is obviously a very, very sick individual or maybe individuals.” https://t.co/mwzDwHD6gg",-0.5956,0.0,0.185,0.815,63
38,FoxNews,Tue Mar 20 16:05:37 +0000 2018,College student reinstated after 18-day exile from Christianity class for gender speech (via @calebparke) https://t.co/BGlUJQvOVa,0.0,0.0,0.0,1.0,62
39,FoxNews,Tue Mar 20 16:03:24 +0000 2018,First day of spring arrives: 5 things to know about the vernal equinox https://t.co/JOBsioj868,0.0,0.0,0.0,1.0,61
40,FoxNews,Tue Mar 20 16:00:54 +0000 2018,OPINION: Supreme Court should not allow California to force pro-life pregnancy centers to promote abortion https://t.co/BcQ2tnQo5l,0.674,0.297,0.08,0.623,60
41,FoxNews,Tue Mar 20 15:54:47 +0000 2018,.@Walmart customer's kind gesture for veteran goes viral: 'I'm grateful for you' https://t.co/ILmK3OL7Eu,0.7506,0.368,0.0,0.632,59
42,FoxNews,Tue Mar 20 15:46:17 +0000 2018,"House GOP leaders McCarthy, Scalise join calls for second special counsel https://t.co/4mNPCakvKX",0.5994,0.329,0.0,0.671,58
43,FoxNews,Tue Mar 20 15:46:00 +0000 2018,"Silence from Zuckerberg, Sandberg on Facebook scandal like putting 'gasoline on the fire' https://t.co/DDmREhgSaF… https://t.co/iEzajw3ELX",-0.4215,0.126,0.268,0.606,57
44,FoxNews,Tue Mar 20 15:44:38 +0000 2018,Man with gun reported at Panera Bread restaurant near Princeton University (via: @luciasuarezsang) https://t.co/4tG0INB8d5,-0.34,0.0,0.156,0.844,56
45,FoxNews,Tue Mar 20 15:41:32 +0000 2018,"JUST IN: Shooter dead, two injured after shooting at Great Mills High School in Maryland https://t.co/PR7p3gulEQ",-0.4404,0.17,0.29,0.539,55
46,FoxNews,Tue Mar 20 15:34:29 +0000 2018,Officials give an update on the school shooting in Maryland https://t.co/fQM8o6NGry https://t.co/FkV7sdojWv,0.0,0.0,0.0,1.0,54
47,FoxNews,Tue Mar 20 15:28:00 +0000 2018,"Facebook data scandal: Social network's security chief in spotlight, reportedly leaving this year… https://t.co/7a8acG1dsQ",-0.128,0.139,0.168,0.694,53
48,FoxNews,Tue Mar 20 15:18:24 +0000 2018,Expelled Russian diplomats begin trek back to Moscow https://t.co/jfxuSx4KFH,-0.25,0.0,0.2,0.8,52
49,FoxNews,Tue Mar 20 15:17:40 +0000 2018,Shooting at Great Mills High School in Maryland injures at least three people https://t.co/PR7p3gulEQ,0.6249,0.24,0.0,0.76,51
50,FoxNews,Tue Mar 20 15:14:03 +0000 2018,"Spring nor'easter could bring upwards of 18 inches of snow, hampering Wednesday commute https://t.co/mk24na0mFc",0.0,0.0,0.0,1.0,50
51,FoxNews,Tue Mar 20 15:10:58 +0000 2018,Crews Work to Restore Puerto Rico’s Power Grid Six Months after Hurricane Maria; @BryanLlenas reports https://t.co/KwHQaB0f5x,0.296,0.128,0.0,0.872,49
52,FoxNews,Tue Mar 20 15:10:14 +0000 2018,Authorities hold news conference on explosion at Texas @FedEx plant https://t.co/X5flwoWkDc https://t.co/hoJFFi0daN,0.0,0.0,0.0,1.0,48
